11:57 AM,Port,ticker,shares,price
2/2/2026,US_live_port,NVST,-15609,23.26
2/2/2026,US_live_port,BANF,-711,112.1
2/2/2026,US_live_port,CENX,472,47.32
2/2/2026,US_live_port,CPAY,177,304.87
2/2/2026,US_live_port,RGTI,-695,17.71
2/2/2026,US_live_port,FAST,-18,44.8
2/2/2026,US_live_port,MU,502,437.8
2/2/2026,US_live_port,YETI,-2858,46.41
2/2/2026,US_live_port,SBLK,13012,23.11
2/2/2026,US_live_port,NOC,-971,685.02
2/2/2026,US_live_port,HNI,-194,48.7
2/2/2026,US_live_port,FSLR,986,230.55
2/2/2026,US_live_port,TDW,-1688,64.64
2/2/2026,US_live_port,HLX,2384,8.06
2/2/2026,US_live_port,YUM,-115,156.17
2/2/2026,US_live_port,POR,407,50.11
2/2/2026,US_live_port,DAVE,1,174.73
2/2/2026,US_live_port,ORC,-200,7.69
2/2/2026,US_live_port,LASR,-1599,48.08
2/2/2026,US_live_port,ATKR,1225,70.06
2/2/2026,US_live_port,BWA,29,48.15
2/2/2026,US_live_port,KFY,437,70.08
2/2/2026,US_live_port,ED,-1879,105.42
2/2/2026,US_live_port,CF,-1818,89.84
2/2/2026,US_live_port,FHI,-288,53.72
2/2/2026,US_live_port,AXON,470,459.99
2/2/2026,US_live_port,TPB,-2505,125.07
2/2/2026,US_live_port,BFH,750,73.05
2/2/2026,US_live_port,IART,61,11.16
2/2/2026,US_live_port,ABCB,-4590,79.89
2/2/2026,US_live_port,GIS,-2835,45.62
2/2/2026,US_live_port,ON,-1290,61.53
2/2/2026,US_live_port,MDB,-1081,372.68
2/2/2026,US_live_port,HSTM,-896,21.93
2/2/2026,US_live_port,AME,-1632,227.72
2/2/2026,US_live_port,OGE,5426,43.08
2/2/2026,US_live_port,MDLZ,-8891,58.69
2/2/2026,US_live_port,ENSG,798,172.56
2/2/2026,US_live_port,USPH,-16,83.66
2/2/2026,US_live_port,VNO,-10366,30.8
2/2/2026,US_live_port,CME,-1780,290.77
2/2/2026,US_live_port,CAR,-3,115.48
2/2/2026,US_live_port,AXP,1356,352.83
2/2/2026,US_live_port,SNA,-17,371.52
2/2/2026,US_live_port,GOOG,-751,344.9
2/2/2026,US_live_port,PTGX,1372,83.05
2/2/2026,US_live_port,CLB,-232,19.59
2/2/2026,US_live_port,GD,1070,346.37
2/2/2026,US_live_port,PEP,-4226,155.2
2/2/2026,US_live_port,JACK,-20,21
2/2/2026,US_live_port,VISN,-13218,18.69
2/2/2026,US_live_port,TNL,753,71.4
2/2/2026,US_live_port,GSAT,2439,60.78
2/2/2026,US_live_port,RPM,-1281,107.51
2/2/2026,US_live_port,MSFT,293,423.37
2/2/2026,US_live_port,ROIV,10649,21.94
2/2/2026,US_live_port,SYF,-6165,73.52
2/2/2026,US_live_port,PFS,200,22.7
2/2/2026,US_live_port,USNA,-68,21.66
2/2/2026,US_live_port,ALV,-106,120.49
2/2/2026,US_live_port,BLDR,-437,113.27
2/2/2026,US_live_port,PLD,1822,129.68
2/2/2026,US_live_port,VICI,-2669,27.95
2/2/2026,US_live_port,CPT,2724,107.3
2/2/2026,US_live_port,FHB,-2911,26.38
2/2/2026,US_live_port,BCO,1131,128.67
2/2/2026,US_live_port,SF,2240,82.7867
2/2/2026,US_live_port,FDS,-936,248.76
2/2/2026,US_live_port,ADBE,568,293.38
2/2/2026,US_live_port,EYE,-39,27.07
2/2/2026,US_live_port,ADM,2140,68.08
2/2/2026,US_live_port,FCF,-4702,18.27
2/2/2026,US_live_port,LUMN,-15535,8.93
2/2/2026,US_live_port,FRT,1475,100.33
2/2/2026,US_live_port,RGEN,-1763,151.12
2/2/2026,US_live_port,ADT,-38587,8
2/2/2026,US_live_port,TEAM,-769,113.7
2/2/2026,US_live_port,BCPC,-1505,171.35
2/2/2026,US_live_port,SHW,-1596,356.36
2/2/2026,US_live_port,TXT,5266,87.56
2/2/2026,US_live_port,KNSL,-490,393.22
2/2/2026,US_live_port,SYBT,2299,68.63
2/2/2026,US_live_port,CAG,-7087,18.38
2/2/2026,US_live_port,BY,-4898,32.76
2/2/2026,US_live_port,VVV,-42,33.13
2/2/2026,US_live_port,REZI,70,35.4
2/2/2026,US_live_port,CECO,-1840,68.12
2/2/2026,US_live_port,HOPE,5354,12.21
2/2/2026,US_live_port,FLG,15070,13.5
2/2/2026,US_live_port,KNSA,-3871,44.67
2/2/2026,US_live_port,FTDR,20,58.38
2/2/2026,US_live_port,FANG,-1169,158.64
2/2/2026,US_live_port,AGX,350,355.77
2/2/2026,US_live_port,SNDX,6567,21.35
2/2/2026,US_live_port,PJT,-2638,174
2/2/2026,US_live_port,MBWM,-1260,53.46
2/2/2026,US_live_port,ECPG,129,55.86
2/2/2026,US_live_port,JKHY,-870,179.18
2/2/2026,US_live_port,GPK,18490,14.78
2/2/2026,US_live_port,TPG,-6440,58.22
2/2/2026,US_live_port,XPRO,-128,16.09
2/2/2026,US_live_port,UMH,12913,15.43
2/2/2026,US_live_port,MKC,9972,61.1
2/2/2026,US_live_port,CRM,1708,210.81
2/2/2026,US_live_port,AMSF,-25,38.53
2/2/2026,US_live_port,HOMB,3691,29.21
2/2/2026,US_live_port,AMRC,-7131,30.57
2/2/2026,US_live_port,KEYS,-2411,223.26
2/2/2026,US_live_port,BRBR,-14,24.39
2/2/2026,US_live_port,WMT,-3321,124.06
2/2/2026,US_live_port,VLO,-211,180.22
2/2/2026,US_live_port,KRG,-5049,23.6
2/2/2026,US_live_port,DKNG,2773,27.42
2/2/2026,US_live_port,HHH,-1284,79.64
2/2/2026,US_live_port,TCMD,-3654,28.73
2/2/2026,US_live_port,PEG,5632,80.31
2/2/2026,US_live_port,COKE,126,153.89
2/2/2026,US_live_port,HD,-1161,378.12
2/2/2026,US_live_port,OFIX,106,13.45
2/2/2026,US_live_port,CVI,392,22.49
2/2/2026,US_live_port,MSA,-2288,181.31
2/2/2026,US_live_port,KOP,-1434,29.69
2/2/2026,US_live_port,SOFI,7903,22.08
2/2/2026,US_live_port,CRVL,-42,69.75
2/2/2026,US_live_port,LULU,853,179.08
2/2/2026,US_live_port,RS,-1780,332.06
2/2/2026,US_live_port,VC,-3150,95.73
2/2/2026,US_live_port,ARLO,9399,12.81
2/2/2026,US_live_port,PTEN,-727,7.59
2/2/2026,US_live_port,MCD,1592,318.53
2/2/2026,US_live_port,ITGR,-1392,85.55
2/2/2026,US_live_port,MRVL,1560,78.66
2/2/2026,US_live_port,HIG,-4411,137.17
2/2/2026,US_live_port,SLAB,-983,143.42
2/2/2026,US_live_port,HAFC,2744,27.44
2/2/2026,US_live_port,DKS,1900,203
2/2/2026,US_live_port,WGO,220,46.08
2/2/2026,US_live_port,ASB,785,27.8
2/2/2026,US_live_port,VYX,-1504,10.13
2/2/2026,US_live_port,INTA,-8746,33.64
2/2/2026,US_live_port,NEO,1570,12.31
2/2/2026,US_live_port,SNDR,-552,28.58
2/2/2026,US_live_port,MC,-772,71.65
2/2/2026,US_live_port,AKBA,40139,1.38
2/2/2026,US_live_port,CACI,21,612.37
2/2/2026,US_live_port,HY,4094,33.91
2/2/2026,US_live_port,CCNE,-5069,28.29
2/2/2026,US_live_port,ATEC,8732,14.49
2/2/2026,US_live_port,GPRO,-3701,1.09
2/2/2026,US_live_port,HPE,4746,22.01
2/2/2026,US_live_port,TWST,-1683,46.81
2/2/2026,US_live_port,INDB,-1150,82.09
2/2/2026,US_live_port,YORW,-91,33.41
2/2/2026,US_live_port,BE,72,156.13
2/2/2026,US_live_port,RIVN,-1308,14.44
2/2/2026,US_live_port,SIGA,-45,6.95
2/2/2026,US_live_port,ACLS,-173,88.81
2/2/2026,US_live_port,CUZ,170,24.84
2/2/2026,US_live_port,SNX,2506,160.8
2/2/2026,US_live_port,PFG,-2632,96
2/2/2026,US_live_port,KLAC,124,141.045
2/2/2026,US_live_port,IPGP,-11,94.55
2/2/2026,US_live_port,CENTA,53,31.31
2/2/2026,US_live_port,CMP,-4847,25.14
2/2/2026,US_live_port,TRS,4736,34.93
2/2/2026,US_live_port,TOST,203,31.52
2/2/2026,US_live_port,LRN,2692,86.56
2/2/2026,US_live_port,NBHC,-319,40.62
2/2/2026,US_live_port,LTC,-2022,36.14
2/2/2026,US_live_port,ALK,1379,52.64
2/2/2026,US_live_port,MTW,-17759,13.4
2/2/2026,US_live_port,BAP,796,367.91
2/2/2026,US_live_port,RRR,-760,63.34
2/2/2026,US_live_port,SBRA,3950,18.26
2/2/2026,US_live_port,CPRI,4424,23.14
2/2/2026,US_live_port,BMI,-6,151.83
2/2/2026,US_live_port,LBRT,-25,26.09
2/2/2026,US_live_port,SSD,-11,179.68
2/2/2026,US_live_port,SPOT,522,508.58
2/2/2026,US_live_port,PRVA,294,23.41
2/2/2026,US_live_port,PB,678,69.71
2/2/2026,US_live_port,PSN,-182,68.34
2/2/2026,US_live_port,WEN,34876,7.69
2/2/2026,US_live_port,BKH,828,72.46
2/2/2026,US_live_port,CLFD,2264,30.27
2/2/2026,US_live_port,YOU,378,32.71
2/2/2026,US_live_port,FA,-8031,13.7
2/2/2026,US_live_port,AKR,-145,19.87
2/2/2026,US_live_port,COLM,-967,55.33
2/2/2026,US_live_port,ANDE,390,63.18
2/2/2026,US_live_port,ROP,456,372.61
2/2/2026,US_live_port,INVX,-36,24.43
2/2/2026,US_live_port,DBI,-11403,6.69
2/2/2026,US_live_port,BFS,3114,31.95
2/2/2026,US_live_port,APLE,-2358,11.77
2/2/2026,US_live_port,WSC,10236,20
2/2/2026,US_live_port,ECVT,-255,10.79
2/2/2026,US_live_port,REXR,-1712,40.29
2/2/2026,US_live_port,FUN,-7107,18.24
2/2/2026,US_live_port,EW,4675,82.65
2/2/2026,US_live_port,SNOW,-29,190.68
2/2/2026,US_live_port,RIGL,33,36.01
2/2/2026,US_live_port,WELL,2233,187.43
2/2/2026,US_live_port,STBA,-888,43.21
2/2/2026,US_live_port,SHOO,-42,45.66
2/2/2026,US_live_port,NWPX,1629,68.75
2/2/2026,US_live_port,WTFC,-1643,149.71
2/2/2026,US_live_port,MMYT,-302,63.63
2/2/2026,US_live_port,LKQ,4774,32.52
2/2/2026,US_live_port,BANC,33,20.38
2/2/2026,US_live_port,PMT,-7044,11.99
2/2/2026,US_live_port,JOE,-3659,66.16
2/2/2026,US_live_port,CYRX,-3214,9.62
2/2/2026,US_live_port,AER,2759,145.32
2/2/2026,US_live_port,UBSI,-9215,43.07
2/2/2026,US_live_port,EPR,-5408,53.63
2/2/2026,US_live_port,ELS,-3007,63.2
2/2/2026,US_live_port,HLNE,-410,141.38
2/2/2026,US_live_port,APAM,-34,45.43
2/2/2026,US_live_port,WVE,4707,13.43
2/2/2026,US_live_port,BWXT,-986,206.04
2/2/2026,US_live_port,FBK,-3597,58.76
2/2/2026,US_live_port,WABC,2405,51.15
2/2/2026,US_live_port,NSIT,-24,84.57
2/2/2026,US_live_port,WINA,-28,460.96
2/2/2026,US_live_port,JCI,1438,122.98
2/2/2026,US_live_port,WFC,-995,92.27
2/2/2026,US_live_port,DE,78,532.25
2/2/2026,US_live_port,AYI,409,316.62
2/2/2026,US_live_port,CCC,-2731,7.49
2/2/2026,US_live_port,HIFS,325,303.99
2/2/2026,US_live_port,AXSM,1837,185.88
2/2/2026,US_live_port,SBAC,-693,181.14
2/2/2026,US_live_port,BSX,-732,91.87
2/2/2026,US_live_port,RHI,-3817,34.03
2/2/2026,US_live_port,LAB,-2953,1.41
2/2/2026,US_live_port,TRV,1555,285.63
2/2/2026,US_live_port,MIDD,-747,120.549
2/2/2026,US_live_port,EZPW,3524,21.63
2/2/2026,US_live_port,CMC,591,80.38
2/2/2026,US_live_port,HTH,-4570,37.96
2/2/2026,US_live_port,WMB,7266,66.34
2/2/2026,US_live_port,LNN,938,127.27
2/2/2026,US_live_port,CCK,-2554,107.78
2/2/2026,US_live_port,ENVX,-104,6.85
2/2/2026,US_live_port,EVCM,-222,12.03
2/2/2026,US_live_port,APO,-982,133.19
2/2/2026,US_live_port,REX,1239,34.31
2/2/2026,US_live_port,DXCM,-1353,72.53
2/2/2026,US_live_port,PVH,-1816,62.8
2/2/2026,US_live_port,DAN,603,29.48
2/2/2026,US_live_port,SGI,-7484,91.51
2/2/2026,US_live_port,SAIA,-602,367.75
2/2/2026,US_live_port,TLN,-949,340.8
2/2/2026,US_live_port,STLD,-2781,186.55
2/2/2026,US_live_port,BLKB,4739,52.36
2/2/2026,US_live_port,CYTK,1462,65.16
2/2/2026,US_live_port,LQDT,4575,32.64
2/2/2026,US_live_port,AVA,1008,41.41
2/2/2026,US_live_port,OPLN,119,29.72
2/2/2026,US_live_port,ALNT,2969,63.24
2/2/2026,US_live_port,GEF,27,71.7
2/2/2026,US_live_port,ENPH,364,36.47
2/2/2026,US_live_port,DTE,1710,132.93
2/2/2026,US_live_port,AXS,367,103.86
2/2/2026,US_live_port,SITE,664,144.21
2/2/2026,US_live_port,DIN,-106,35.3
2/2/2026,US_live_port,LGIH,836,50.2
2/2/2026,US_live_port,GPI,19,351.89
2/2/2026,US_live_port,UVV,9,57.82
2/2/2026,US_live_port,MAN,-7843,36.68
2/2/2026,US_live_port,HIW,182,25.27
2/2/2026,US_live_port,FLYW,-14823,12.58
2/2/2026,US_live_port,QTWO,323,60.5
2/2/2026,US_live_port,NWSA,27500,26.77
2/2/2026,US_live_port,CW,682,663.99
2/2/2026,US_live_port,WSBC,-10272,36.01
2/2/2026,US_live_port,URGN,-181,19.7
2/2/2026,US_live_port,STC,3196,68.33
2/2/2026,US_live_port,CHKP,284,180.21
2/2/2026,US_live_port,AAT,116,18.03
2/2/2026,US_live_port,MAS,-1255,66.57
2/2/2026,US_live_port,FERG,-1687,254.94
2/2/2026,US_live_port,MSGS,-1234,284.34
2/2/2026,US_live_port,DNLI,3104,22.74
2/2/2026,US_live_port,AAMI,-3120,55.85
2/2/2026,US_live_port,FFIV,631,280.72
2/2/2026,US_live_port,MLKN,-4152,20.49
2/2/2026,US_live_port,ZM,-6950,92.865
2/2/2026,US_live_port,LEN,-339,108.8
2/2/2026,US_live_port,HWC,-430,69.74
2/2/2026,US_live_port,ANAB,91,33.6883
2/2/2026,US_live_port,ENVA,213,172.37
2/2/2026,US_live_port,TLRY,2239,7.44
2/2/2026,US_live_port,PFSI,-3270,93.07
2/2/2026,US_live_port,DECK,2359,116.25
2/2/2026,US_live_port,MKTX,-1028,166.34
2/2/2026,US_live_port,MOS,3607,27.27
2/2/2026,US_live_port,BX,-1353,141.28
2/2/2026,US_live_port,IP,2952,40.69
2/2/2026,US_live_port,AVB,1832,175.32
2/2/2026,US_live_port,EXTR,-5221,14.79
2/2/2026,US_live_port,NPK,322,131.95
2/2/2026,US_live_port,KMI,2985,29.61
2/2/2026,US_live_port,CNK,-11817,24.67
2/2/2026,US_live_port,CTRE,-1664,36.41
2/2/2026,US_live_port,TSN,11277,65.74
2/2/2026,US_live_port,BRO,-7158,71.3
2/2/2026,US_live_port,HOOD,-4602,89.91
2/2/2026,US_live_port,WMK,1841,71.75
2/2/2026,US_live_port,IBP,-516,286.92
2/2/2026,US_live_port,DELL,4312,119.16
2/2/2026,US_live_port,WLFC,-215,62.5367
2/2/2026,US_live_port,FCFS,-412,171.69
2/2/2026,US_live_port,PLUS,757,87.05
2/2/2026,US_live_port,RBC,-9,507.13
2/2/2026,US_live_port,SHEN,1665,11.97
2/2/2026,US_live_port,ADC,-922,71.04
2/2/2026,US_live_port,DHC,-14428,5.84
2/2/2026,US_live_port,TWI,4254,9.71
2/2/2026,US_live_port,ALSN,-814,110.24
2/2/2026,US_live_port,SBUX,-3325,91.69
2/2/2026,US_live_port,DX,-31275,13.82
2/2/2026,US_live_port,PCAR,1030,124.61
2/2/2026,US_live_port,FFIN,-138,32.41
2/2/2026,US_live_port,SO,500,88.19
2/2/2026,US_live_port,VRSK,102,214.15
2/2/2026,US_live_port,AMR,-6,202.46
2/2/2026,US_live_port,BRZE,5036,20.74
2/2/2026,US_live_port,NBN,765,119.14
2/2/2026,US_live_port,BMY,-7365,55.89
2/2/2026,US_live_port,NDSN,-970,276.91
2/2/2026,US_live_port,LQDA,992,44.21
2/2/2026,US_live_port,ESRT,-168,6.53
2/2/2026,US_live_port,ALGN,-2960,163.63
2/2/2026,US_live_port,RES,-92,6.62
2/2/2026,US_live_port,WYNN,5512,109.18
2/2/2026,US_live_port,ICE,-3126,173.18
2/2/2026,US_live_port,ELAN,-1240,24.75
2/2/2026,US_live_port,LSTR,-957,158.7
2/2/2026,US_live_port,RMBS,-274,113.71
2/2/2026,US_live_port,BGC,8135,9.24
2/2/2026,US_live_port,URBN,807,72.6
2/2/2026,US_live_port,FIZZ,-228,34.53
2/2/2026,US_live_port,TBPH,1313,19.83
