ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
TMO,-0.0016081119415784313,0.8875297018574255,-0.0014272471120624708,9.563319567611574e-05,0.008574818722531236
IONS,0.0020048419312478417,0.7154275361821525,0.0014343191233073117,9.362625221111987e-05,0.008394868902000389
FMC,-0.0008848444839238857,1.0838891021076904,-0.0009590732931852032,9.273764870694923e-05,0.008315193493157262
NXPI,-0.0020660696329037743,1.799350763834818,-0.0037175839721013287,9.247479909285159e-05,0.008291625444675354
V,0.0019928179923994578,0.7520292724673489,0.001498657464984007,9.09659929955203e-05,0.008156340424859826
AMRC,-0.0009270717723868006,1.5702518877025522,-0.0014557362006261244,9.062228410987134e-05,0.008125522241205852
POOL,-0.001054304150385996,0.7061656312863749,-0.000744513355925172,8.914256020623429e-05,0.007992844836217147
EXP,-0.0015396683114135903,1.0364339170925403,-0.0015957644590216446,8.904198415616313e-05,0.007983826823265773
LEN,-0.0008314756074664371,0.6905292882774153,-0.0005741582594438304,8.713980681814224e-05,0.007813270713158602
FERG,-0.001634661529811431,0.9570863537167926,-0.0015645122431283366,8.652822921734402e-05,0.007758434450242472
CRS,0.0010957558755229986,1.4799961244765794,0.0016217144491464791,8.583926580243904e-05,0.007696659494930153
EW,0.002499233484676912,0.5384069967330585,0.0013456047946195924,8.556088182161448e-05,0.007671698578859632
HAL,-0.0018464336422744812,1.2568133935106514,-0.002320622531839223,8.421836252530745e-05,0.007551323435940425
BMRN,0.0017387165015191706,0.7423067392193161,0.0012906609766695125,8.339909071174074e-05,0.007477864557606941
VRSN,0.0022866127684116884,0.4162227549179813,0.0009517402658989449,8.335382246060757e-05,0.007473805642241742
UTZ,-0.0012043294996999282,0.21504025571870536,-0.00025897932358505307,7.883936997470647e-05,0.007069023480311433
WDC,0.0009346329220780136,1.7572929830146007,0.0016424238756621253,7.865862086664974e-05,0.00705281686058187
MELI,0.0013964358166015977,0.8779483930610239,0.0012259985811982313,7.608937933867982e-05,0.006822449358994308
QS,-0.00038991785837034506,1.6670022038652987,-0.0006499939292298027,7.519882194373009e-05,0.006742598757226634
DHR,-0.0016213740936959166,0.9512865564514883,-0.0015423913783116413,7.513605680047443e-05,0.006736971007137285
HD,-0.0020372542474140524,0.6189529944067331,-0.0012609646168047633,7.506046827822778e-05,0.0067301934664393435
NOC,-0.002419302409764686,0.07228796654093986,-0.00017488645164948479,7.49957525699707e-05,0.00672439082162672
CB,0.001311462324902331,0.24367428981950634,0.00031956965064561417,7.479342057409714e-05,0.006706249001998945
CORT,0.00039279518934476316,1.2673094443026165,0.0004977930531332529,7.463349973295502e-05,0.006691909920124148
