as_of_date,ticker,retrieved_at,market_cap
2026-01-28,NMRK,2026-07-27T14:04:11-04:00,4379411519.688927
2026-01-28,NN,2026-07-27T14:04:11-04:00,2019739676.5201416
2026-01-28,NNI,2026-07-27T14:04:11-04:00,4660268916.61618
2026-01-28,NNN,2026-07-27T14:04:11-04:00,7857023913.692684
2026-01-28,NOC,2026-07-27T14:04:11-04:00,98352680468.58533
2026-01-28,NOG,2026-07-27T14:04:11-04:00,2377608603.65213
2026-01-28,NOMD,2026-07-27T14:04:11-04:00,1844891924.442793
2026-01-28,NOV,2026-07-27T14:04:11-04:00,6825683554.39831
2026-01-28,NOVT,2026-07-27T14:04:14-04:00,4999975170.299057
2026-01-28,NOW,2026-07-27T14:04:14-04:00,136767628563.63464
2026-01-28,NPK,2026-07-27T14:04:14-04:00,873323519.8751984
2026-01-28,NPKI,2026-07-27T14:04:14-04:00,1149127938.6321695
2026-01-28,NPO,2026-07-27T14:04:14-04:00,4927905830.679993
2026-01-28,NRG,2026-07-27T14:04:14-04:00,30003051971.3908
2026-01-28,NRIM,2026-07-27T14:04:14-04:00,499944126.0658722
2026-01-28,NSA,2026-07-27T14:04:14-04:00,4643107440.551659
2026-01-28,NSIT,2026-07-27T14:04:14-04:00,2649524708.272949
2026-01-28,NSP,2026-07-27T14:04:14-04:00,1536067215.7651672
2026-01-28,NSSC,2026-07-27T14:04:14-04:00,1373433057.3786163
2026-01-28,NTAP,2026-07-27T14:04:14-04:00,19828094746.222183
2026-01-28,NTB,2026-07-27T14:04:14-04:00,2121252335.2465897
2026-01-28,NTCT,2026-07-27T14:04:14-04:00,2026476379.07824
2026-01-28,NTGR,2026-07-27T14:04:14-04:00,621363293.1531773
2026-01-28,NTLA,2026-07-27T14:04:14-04:00,1600769541.9715118
2026-01-28,NTNX,2026-07-27T14:04:14-04:00,11297308494.641968
2026-01-28,NTRA,2026-07-27T14:04:14-04:00,32900229860.24414
2026-01-28,NTRS,2026-07-27T14:04:14-04:00,28414884842.5
2026-01-28,NU,2026-07-27T14:04:14-04:00,90903001409.90428
2026-01-28,NUE,2026-07-27T14:04:14-04:00,39633740889.40912
2026-01-28,NUS,2026-07-27T14:04:14-04:00,492375786.19667816
2026-01-28,NVAX,2026-07-27T14:04:14-04:00,1499865649.4638634
2026-01-28,NVCR,2026-07-27T14:04:14-04:00,1408733312.4364529
2026-01-28,NVDA,2026-07-27T14:04:14-04:00,4662937544021.606
2026-01-28,NVR,2026-07-27T14:04:14-04:00,21071652368.1875
