Date,Port,ticker,shares,price
1/27/2026,US_live_port,ATKR,851,70.77
1/27/2026,US_live_port,ATO,1527,169.03
1/27/2026,US_live_port,ATR,1135,124.74
1/27/2026,US_live_port,ATRC,805,38.41
1/27/2026,US_live_port,ATRO,-665,65.2393
1/27/2026,US_live_port,AUB,-3311,39.32
1/27/2026,US_live_port,AUR,-3320,4.36
1/27/2026,US_live_port,AVA,-269,40.96
1/27/2026,US_live_port,AVAV,-600,309.57
1/27/2026,US_live_port,AVB,-489,176.03
1/27/2026,US_live_port,AVGO,899,332.79
1/27/2026,US_live_port,AVNS,-191,13.15
1/27/2026,US_live_port,AVNT,6862,36.71
1/27/2026,US_live_port,AVPT,7694,12.38
1/27/2026,US_live_port,AVT,112,52.68
1/27/2026,US_live_port,AVTR,-15158,11.65
1/27/2026,US_live_port,AVXL,59062,5.05
1/27/2026,US_live_port,AVY,-158,186.94
1/27/2026,US_live_port,AWI,-1866,185.58
1/27/2026,US_live_port,AWK,1719,130.53
1/27/2026,US_live_port,AWR,-1536,73.21
1/27/2026,US_live_port,AX,-2591,92.47
1/27/2026,US_live_port,AXGN,41,34.59
1/27/2026,US_live_port,AXON,-15,610.22
1/27/2026,US_live_port,AXP,803,359.45
1/27/2026,US_live_port,AXS,280,102.51
1/27/2026,US_live_port,AXSM,1564,188.02
1/27/2026,US_live_port,AXTI,9804,17.2
1/27/2026,US_live_port,AYI,189,312.8
1/27/2026,US_live_port,AZO,169,3799.99
1/27/2026,US_live_port,AZTA,4595,40.13
1/27/2026,US_live_port,AZZ,171,122.88
1/27/2026,US_live_port,BA,564,244.56
1/27/2026,US_live_port,BAC,12452,52.17
1/27/2026,US_live_port,BAH,-208,89.56
1/27/2026,US_live_port,BALL,-3622,57.01
1/27/2026,US_live_port,BANC,158,20.16
1/27/2026,US_live_port,BAND,9214,14.15
1/27/2026,US_live_port,BANF,-192,109.25
1/27/2026,US_live_port,BANR,-7795,61.31
1/27/2026,US_live_port,BAP,576,356.15
1/27/2026,US_live_port,BATRK,-3085,39.65
1/27/2026,US_live_port,BAX,-6349,19.57
1/27/2026,US_live_port,BBBY,-1956,6.64
1/27/2026,US_live_port,BBIO,656,77.87
1/27/2026,US_live_port,BBSI,602,37.36
1/27/2026,US_live_port,BBT,13134,28.38
1/27/2026,US_live_port,BBW,-37,60.91
1/27/2026,US_live_port,BBWI,10351,21.44
1/27/2026,US_live_port,BBY,-4945,65.74
1/27/2026,US_live_port,BC,770,85.77
1/27/2026,US_live_port,BCC,2137,81.74
1/27/2026,US_live_port,BCO,873,125.48
