ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_pct_of_daily_market_volume,position_value_pct_dollar_adv,liquidation_participation_rate,estimated_days_to_liquidate,estimated_full_trading_days
JAZZ,1074,163.98,176114.52,1162889.75,194683825.89950004,0.0009235613264284082,0.09235613264284082,0.0009046181375689323,0.1,0.009235613264284081,1
JBGS,-2218,16.62,-36863.16,436957.15,7434187.827499999,0.005076012602151034,0.5076012602151034,0.004958599494034644,0.1,0.05076012602151034,1
JBHT,1451,205.21,297759.71,1016555.4,208223265.94599995,0.001427369329797471,0.1427369329797471,0.0014300021116622971,0.1,0.01427369329797471,1
JBL,-1103,243.92,-269043.76,1138133.7,271033098.30700004,0.0009691304281737726,0.09691304281737725,0.0009926601646831092,0.1,0.009691304281737725,1
JBLU,3091,5.05,15609.55,20580767.9,103831180.428,0.00015018875947772582,0.015018875947772582,0.0001503358618832633,0.1,0.0015018875947772582,1
JBSS,-216,75.56,-16320.960000000001,46928.65,3413382.5644999994,0.004602732019778962,0.46027320197789623,0.004781462286044909,0.1,0.04602732019778962,1
JBTM,-2183,158.55,-346114.65,472272.8,73722247.0375,0.004622328450844512,0.4622328450844512,0.004694846724136654,0.1,0.046223284508445116,1
JCI,2183,120.28,262571.24,5955977.15,680724536.538,0.00036652256128954423,0.036652256128954425,0.0003857231903750285,0.1,0.003665225612895442,1
JJSF,-2218,93.87,-208203.66,201785.05,18973067.469499998,0.01099189459278574,1.0991894592785738,0.010973642524314854,0.1,0.10991894592785739,1
JKHY,565,177.94,100536.1,671695.25,124094800.81549999,0.0008411552709357405,0.08411552709357406,0.000810155617635212,0.1,0.008411552709357405,1
JLL,-267,358.66,-95762.22,372888.25,130596202.99999997,0.0007160322160861867,0.07160322160861868,0.0007332695576149333,0.1,0.007160322160861867,1
JNJ,1006,227.29,228653.74,9220670.2,1988345155.227,0.00010910269841339733,0.010910269841339732,0.00011499700612789014,0.1,0.0010910269841339732,1
JOBY,-17485,11.14,-194782.90000000002,30221980.2,422293844.14399993,0.000578552427216533,0.057855242721653294,0.00046124967886953166,0.1,0.0057855242721653296,1
JOE,-1980,66.91,-132481.8,192675.7,12262294.579,0.010276334794683501,1.0276334794683502,0.010803997501975197,0.1,0.102763347946835,1
JPM,36,306.42,11031.12,11828472.15,3697282280.6094995,3.0435038053498736e-06,0.00030435038053498736,2.9835752757783787e-06,0.1,3.0435038053498736e-05,1
JXN,-3237,118.06,-382160.22000000003,488008.2,55649300.941,0.006633085263731224,0.6633085263731224,0.006867295968464554,0.1,0.06633085263731224,1
KAI,-8,323.96,-2591.68,117860.2,36647791.442,6.787702718984017e-05,0.006787702718984017,7.071858625100718e-05,0.1,0.0006787702718984017,1
KALU,9,126.92,1142.28,168359.75,21029220.579,5.345695749726404e-05,0.005345695749726404,5.4318703620460986e-05,0.1,0.0005345695749726404,1
KBH,586,57.78,33859.08,1228428.65,72705331.54950002,0.0004770321825366089,0.04770321825366089,0.0004657028484485722,0.1,0.004770321825366089,1
KBR,-1197,43.23,-51746.31,1327319.95,57581272.880499996,0.0009018172295232962,0.09018172295232961,0.0008986656149020974,0.1,0.009018172295232961,1
KD,-6830,23.31,-159207.3,1996156.25,51179662.29799999,0.0034215758410695556,0.34215758410695557,0.0031107532338333055,0.1,0.03421575841069555,1
KDP,446,26.82,11961.72,10487792.85,289021904.465,4.252563016631283e-05,0.004252563016631283,4.138689772369326e-05,0.1,0.0004252563016631283,1
KE,4401,30.58,134582.58,156086.65,4607041.612,0.028195877097753078,2.8195877097753077,0.029212364752567378,0.1,0.28195877097753075,1
KELYA,-2547,10.3,-26234.100000000002,422218.35,4132765.9,0.006032423744728291,0.603242374472829,0.006347831122009597,0.1,0.0603242374472829,1
KEX,-10,122.17,-1221.7,913434.75,113433708.3305,1.0947689476451383e-05,0.0010947689476451382,1.077016715737142e-05,0.1,0.00010947689476451382,1
KEY,4831,21.63,104494.53,16027865.15,340826473.02849996,0.00030141256834819325,0.030141256834819326,0.0003065915891787612,0.1,0.0030141256834819324,1
KEYS,-594,221.17,-131374.97999999998,1000809.5,213085212.23349997,0.0005935195459275716,0.05935195459275716,0.0006165372933342674,0.1,0.005935195459275716,1
KFRC,-431,32.93,-14192.83,170723.75,5701272.959999999,0.002524546233315517,0.2524546233315517,0.002489414223731537,0.1,0.02524546233315517,1
KFY,956,67.25,64291.0,393687.7,26575001.891,0.0024283207222374485,0.24283207222374487,0.002419228426161394,0.1,0.024283207222374485,1
KHC,-23843,23.14,-551727.02,16366594.5,383085650.9035,0.001456808867599182,0.1456808867599182,0.0014402184438356347,0.1,0.014568088675991818,1
KIDS,5030,17.29,86968.7,166337.65,3076916.0585000003,0.030239696184237302,3.02396961842373,0.028264891971865273,0.1,0.302396961842373,1
KIM,-2260,20.71,-46804.6,5171727.15,106750564.77250001,0.0004369913443712899,0.04369913443712899,0.00043844826582179657,0.1,0.0043699134437128985,1
KKR,-4649,114.98,-534542.02,4279979.15,539934549.088,0.0010862202447878746,0.10862202447878747,0.0009900126244984536,0.1,0.010862202447878746,1
KLAC,-107,168.471,-18026.397,11549531.5,1709828296.7665,9.264445055628447e-06,0.0009264445055628447,1.0542811248410254e-05,0.1,9.264445055628446e-05,1
KLIC,44,58.85,2589.4,711647.05,39633720.05950001,6.182840215525378e-05,0.006182840215525378,6.533325653288843e-05,0.1,0.0006182840215525377,1
KMB,5663,98.66,558711.58,6636617.55,661322880.9339999,0.0008532961191955381,0.08532961191955381,0.0008448393305414143,0.1,0.00853296119195538,1
KMI,7294,30.24,220570.56,15360179.05,435516600.40900004,0.00047486425622102364,0.04748642562210236,0.0005064572964448633,0.1,0.004748642562210236,1
KMPR,-1827,39.13,-71490.51000000001,730623.7,28572761.9505,0.002500603251714939,0.2500603251714939,0.0025020510836107315,0.1,0.025006032517149387,1
KMT,1035,34.81,36028.350000000006,1028629.0,33567958.526,0.0010061936811036826,0.10061936811036826,0.0010732958327535562,0.1,0.010061936811036825,1
KMX,1575,45.53,71709.75,3646559.9,164892774.9515,0.0004319139252312844,0.04319139252312844,0.00043488715634200484,0.1,0.004319139252312844,1
KN,-5142,24.57,-126338.94,657427.65,15498831.314499998,0.007821392970009703,0.7821392970009703,0.008151513971366542,0.1,0.07821392970009702,1
KNF,-461,69.66,-32113.26,510287.5,38411701.032000005,0.0009034122920902433,0.09034122920902433,0.0008360280627313822,0.1,0.009034122920902433,1
KNSA,-3150,43.96,-138474.0,700245.65,29038238.434250005,0.0044984213754130425,0.44984213754130425,0.004768677697634467,0.1,0.04498421375413042,1
KNSL,-371,395.28,-146648.87999999998,220428.4,87633921.46800001,0.0016830862084921906,0.16830862084921905,0.0016734259695721774,0.1,0.016830862084921905,1
KNX,-9,55.82,-502.38,3473335.45,195991601.5115,2.591169246264423e-06,0.0002591169246264423,2.5632731001002734e-06,0.1,2.5911692462644228e-05,1
KO,1376,73.43,101039.68000000001,17577878.0,1244520788.098,7.828021106984586e-05,0.007828021106984585,8.118761933612925e-05,0.1,0.0007828021106984586,1
KODK,236,7.55,1781.8,844840.9,6456414.4975000005,0.0002793425365651687,0.027934253656516868,0.00027597360743953687,0.1,0.0027934253656516864,1
KOP,-1011,29.62,-29945.82,126668.05,3604533.8600000003,0.007981491781076601,0.7981491781076602,0.008307820418144164,0.1,0.07981491781076601,1
KR,2749,61.75,169750.75,6720548.3,416393375.626,0.0004090440061267025,0.04090440061267025,0.00040766918960898237,0.1,0.004090440061267025,1
KRC,-3421,34.48,-117956.07999999999,1821483.8,67983921.558,0.001878139130306841,0.18781391303068412,0.0017350584858416354,0.1,0.01878139130306841,1
KREF,-7144,8.44,-60295.35999999999,861339.8,6967032.0745,0.008294055377448017,0.8294055377448017,0.00865438243361714,0.1,0.08294055377448016,1
KRG,2055,23.27,47819.85,1956759.0,46108756.776999995,0.0010502059783550248,0.10502059783550248,0.0010371099405537113,0.1,0.010502059783550248,1
KRNT,-5882,12.86,-75642.51999999999,339347.35,4783906.9895,0.017333272235660602,1.7333272235660602,0.015811870959453148,0.1,0.17333272235660602,1
KRNY,730,7.75,5657.5,441800.0,3420731.5420000004,0.0016523313716613852,0.16523313716613852,0.0016538859979325438,0.1,0.01652331371661385,1
KRO,18021,5.38,96952.98,339380.9,1757986.0320000004,0.05309962935450993,5.309962935450993,0.055150028632309396,0.1,0.5309962935450993,1
KRYS,108,279.34,30168.719999999998,310680.05,84139881.20375,0.00034762450952354363,0.03476245095235436,0.00035855434507857875,0.1,0.003476245095235436,1
KSS,60,16.9,1013.9999999999999,3439097.15,66509171.10050001,1.7446439394711488e-05,0.0017446439394711488,1.5246017702848454e-05,0.1,0.00017446439394711488,1
KTB,1200,59.4,71280.0,755325.05,45180456.461,0.0015887199822116318,0.15887199822116319,0.0015776733035340017,0.1,0.015887199822116317,1
KTOS,-3109,108.16,-336269.44,4355639.95,484400501.3415,0.0007137871898709166,0.07137871898709167,0.0006941971345379176,0.1,0.007137871898709166,1
KURA,-6522,8.22,-53610.840000000004,1386302.8,12620612.6525,0.004704599889721062,0.47045998897210617,0.004247879360229022,0.1,0.04704599889721062,1
KWR,787,154.89,121898.43,108000.0,16319291.5405,0.007287037037037037,0.7287037037037037,0.007469590802853272,0.1,0.07287037037037036,1
KYMR,-3040,73.91,-224686.4,740791.25,53923697.83099999,0.004103720177580391,0.4103720177580391,0.0041667468856490565,0.1,0.04103720177580391,1
L,5744,104.68,601281.92,700272.15,72591282.65249999,0.008202525261071713,0.8202525261071714,0.008283114694065712,0.1,0.08202525261071712,1
LAB,-1339,1.41,-1887.9899999999998,1518500.75,2239842.3355,0.0008817908058326609,0.0881790805832661,0.0008429120077233221,0.1,0.008817908058326608,1
LAD,841,327.07,275065.87,221676.1,73258180.0755,0.0037938235109693827,0.37938235109693824,0.00375474615553535,0.1,0.037938235109693824,1
LADR,100,11.16,1116.0,640950.9,7047705.319500001,0.00015601819109700913,0.015601819109700913,0.00015834941295178535,0.1,0.0015601819109700911,1
LAMR,3019,128.0,386432.0,427668.1,55071282.70799999,0.007059212506146707,0.7059212506146707,0.007016942061236292,0.1,0.07059212506146706,1
LAND,-122,10.44,-1273.6799999999998,732717.05,7140792.555999999,0.00016650356368805666,0.016650356368805665,0.00017836675551228547,0.1,0.0016650356368805666,1
LASR,-2615,47.11,-123192.65,837457.85,36038074.6535,0.00312254521227546,0.312254521227546,0.0034184026528741203,0.1,0.031225452122754595,1
LAUR,-7021,34.32,-240960.72,891357.0,30983085.714999996,0.00787675420734902,0.7876754207349019,0.007777169847331974,0.1,0.0787675420734902,1
LAZ,-74,53.79,-3980.46,1061558.95,55335129.787,6.970879949719232e-05,0.006970879949719231,7.19336886950817e-05,0.1,0.0006970879949719231,1
LBRT,-1296,25.34,-32840.64,3887621.4,81029704.9635,0.00033336579534210816,0.03333657953421082,0.00040529136832959144,0.1,0.0033336579534210815,1
LBTYK,-23135,11.08,-256335.8,754975.85,8060318.332499999,0.030643364287745098,3.0643364287745096,0.03180219309284954,0.1,0.30643364287745095,1
LCID,-8644,11.33,-97936.52,8590118.8,93970956.669,0.0010062724627277564,0.10062724627277564,0.0010421998825122976,0.1,0.010062724627277564,1
LCII,2344,149.38,350146.72,394341.65,55824470.71800001,0.005944084273116978,0.5944084273116979,0.006272280157724789,0.1,0.05944084273116978,1
LDOS,910,187.19,170342.9,922167.6,177595624.2135,0.000986805435367714,0.0986805435367714,0.0009591615826931581,0.1,0.009868054353677139,1
LE,-584,18.01,-10517.84,304133.95,5248973.486,0.0019202065405720078,0.19202065405720078,0.0020037898892141595,0.1,0.019202065405720076,1
LEA,391,120.58,47146.78,474242.35,57756301.68100001,0.000824472972521328,0.0824472972521328,0.0008163053836168633,0.1,0.00824472972521328,1
LECO,536,267.77,143524.72,285962.4,72962544.533,0.001874372295098936,0.1874372295098936,0.0019671013520517456,0.1,0.018743722950989358,1
LEN,3345,111.23,372064.35000000003,3358505.6,382948211.40900004,0.0009959786876639419,0.09959786876639419,0.0009715787642173481,0.1,0.009959786876639417,1
LEVI,-12817,20.54,-263261.18,2132972.05,45219717.79400001,0.006008986381232703,0.6008986381232704,0.0058218227101570034,0.1,0.06008986381232703,1
LFST,8022,7.07,56715.54,1601101.4,11588261.6635,0.005010301034025703,0.5010301034025704,0.00489422327928952,0.1,0.05010301034025703,1
LFUS,-263,326.5,-85869.5,219968.55,63995379.71700001,0.001195625465549507,0.1195625465549507,0.001341807805184243,0.1,0.01195625465549507,1
LGIH,808,50.145,40517.16,403571.35,20110633.151499998,0.0020021242835994183,0.20021242835994182,0.0020147132959350876,0.1,0.02002124283599418,1
LGND,288,195.17,56208.96,235807.85,46227931.778500006,0.001221333386483953,0.12213333864839529,0.00121590903675561,0.1,0.012213333864839528,1
LH,115,269.81,31028.15,785248.7,206117617.78800002,0.0001464504175556101,0.01464504175556101,0.000150536137245258,0.1,0.001464504175556101,1
LHX,-597,356.02,-212543.94,1826858.1,618541724.9869999,0.0003267905701050344,0.03267905701050344,0.0003436210225017029,0.1,0.003267905701050344,1
LII,-679,496.11,-336858.69,486562.7,247736437.149,0.0013955036010775178,0.1395503601077518,0.0013597462443419165,0.1,0.013955036010775178,1
LILAK,-13237,5.29,-70023.73,1010454.6,5067546.495704999,0.013100044277100624,1.3100044277100624,0.013818073511382409,0.1,0.13100044277100623,1
LIN,-209,455.0,-95095.0,2311558.8,1020269043.642,9.041517784449179e-05,0.009041517784449178,9.320580742168209e-05,0.1,0.0009041517784449179,1
LIND,9750,16.82,163995.0,759804.45,12180049.8125,0.012832249139893824,1.2832249139893825,0.013464230649672476,0.1,0.12832249139893823,1
LITE,1082,381.44,412718.08,4262839.9,1533086332.4640002,0.0002538214020188748,0.025382140201887476,0.00026920733115967,0.1,0.002538214020188748,1
LIVN,-395,64.71,-25560.449999999997,556246.65,35080962.197000004,0.0007101166362080562,0.07101166362080562,0.000728613139413429,0.1,0.007101166362080562,1
LKFN,-78,59.25,-4621.5,179556.8,10501048.18575,0.00043440292988068403,0.0434402929880684,0.0004400989232933346,0.1,0.00434402929880684,1
LKQ,888,32.62,28966.559999999998,2989407.85,98043215.05649999,0.000297048795131785,0.029704879513178503,0.00029544685966598764,0.1,0.00297048795131785,1
LLY,407,1024.14,416824.98000000004,2871465.4,3048338109.8759995,0.00014173947560015872,0.014173947560015871,0.00013673843418142212,0.1,0.001417394756001587,1
LMAT,1253,83.86,105076.58,142356.7,12024013.536499998,0.008801833703647247,0.8801833703647246,0.008738894020788516,0.1,0.08801833703647247,1
LMB,-236,83.56,-19720.16,163178.35,13487590.649500001,0.0014462702925970264,0.14462702925970264,0.0014620965680576202,0.1,0.014462702925970263,1
LMND,718,91.28,65539.04,2271841.4,194701494.8105,0.0003160431885782168,0.03160431885782168,0.00033661292669472386,0.1,0.0031604318857821677,1
LMT,-463,622.51,-288222.13,2186579.5,1216422655.2289999,0.00021174624567732388,0.02117462456773239,0.00023694242191316326,0.1,0.0021174624567732387,1
LNC,35,41.64,1457.4,1654745.4,70349732.13949999,2.115129010178847e-05,0.002115129010178847,2.0716496789355912e-05,0.1,0.00021151290101788467,1
LNG,-1922,212.99,-409366.78,1931124.05,388783163.749,0.0009952752646832813,0.09952752646832813,0.0010529436924493183,0.1,0.009952752646832812,1
LNN,466,125.23,58357.18,118609.55,14647754.627,0.003928857330628099,0.3928857330628099,0.003984035880313767,0.1,0.03928857330628099,1
LNT,2842,66.33,188509.86,2244044.3,148606437.53149998,0.0012664634116180329,0.1266463411618033,0.0012685174554436223,0.1,0.012664634116180329,1
LNTH,-120,66.68,-8001.6,846137.95,56839005.052250005,0.00014182084611616817,0.014182084611616817,0.0001407765669480742,0.1,0.0014182084611616816,1
LOB,-86,39.5,-3397.0,386060.15,14571691.601,0.00022276321448872667,0.022276321448872666,0.00023312324286130765,0.1,0.0022276321448872665,1
LOPE,-772,172.54,-133200.88,289838.6,50649455.9315,0.002663551369624336,0.2663551369624336,0.0026298580616570745,0.1,0.026635513696243358,1
LOVE,15915,13.45,214056.75,303129.4,4521556.152500001,0.05250233068781847,5.250233068781847,0.047341389287324565,0.1,0.5250233068781847,1
LOW,-567,266.64,-151184.88,2902911.55,773138798.2025001,0.00019532114232002695,0.019532114232002695,0.0001955468802645728,0.1,0.0019532114232002694,1
LPLA,-862,362.71,-312656.01999999996,588246.45,215642486.28849998,0.0014653722092160524,0.14653722092160523,0.0014498813540004785,0.1,0.014653722092160523,1
LPX,-49,86.44,-4235.5599999999995,1016489.55,90469765.0985,4.820511927545148e-05,0.004820511927545148,4.6817409058026014e-05,0.1,0.00048205119275451477,1
LQDA,280,43.06,12056.800000000001,2362851.75,88525028.04675,0.00011850087505489923,0.011850087505489923,0.00013619651149540234,0.1,0.0011850087505489923,1
LQDT,-456,32.15,-14660.4,129967.75,4061986.2545000003,0.003508562701131627,0.35085627011316267,0.003609170263380072,0.1,0.03508562701131627,1
LRCX,1239,248.17,307482.63,13515422.25,2924460465.2205,9.167305150233098e-05,0.009167305150233097,0.00010514166071204394,0.1,0.0009167305150233097,1
LRN,4323,84.04,363304.92000000004,1573352.75,116363927.664,0.0027476355826752774,0.27476355826752774,0.0031221438403921907,0.1,0.02747635582675277,1
LSCC,4918,83.31,409718.58,1856011.35,155142427.96899998,0.0026497682786260977,0.2649768278626098,0.0026409189630696548,0.1,0.026497682786260975,1
LSTR,-968,150.0,-145200.0,499840.6,76158894.33500001,0.0019366173936250877,0.19366173936250877,0.0019065402835459898,0.1,0.019366173936250876,1
LTC,-5793,36.18,-209590.74,429754.6,15491165.686500002,0.013479785905723872,1.3479785905723871,0.013529694552466819,0.1,0.1347978590572387,1
LTH,1396,29.34,40958.64,2281579.3,64210000.10700001,0.000611856883519236,0.061185688351923596,0.0006378856865246258,0.1,0.006118568835192359,1
LULU,-241,172.54,-41582.14,2918196.45,583824675.38,8.258525569791575e-05,0.008258525569791574,7.122367682204423e-05,0.1,0.0008258525569791574,1
LUMN,-13958,8.93,-124644.94,11772870.65,99111393.83250001,0.001185607182390983,0.11856071823909829,0.0012576247309229868,0.1,0.011856071823909829,1
LUV,3271,48.5,158643.5,9831438.3,428653113.6415,0.0003327081857392117,0.03327081857392117,0.0003700976266153522,0.1,0.003327081857392117,1
LVS,-2858,52.71,-150645.18,7035147.3,419974230.722,0.0004062459360303657,0.04062459360303657,0.0003587010082523822,0.1,0.004062459360303657,1
LW,-474,45.96,-21785.04,2941414.3,126386524.18899998,0.00016114696933376574,0.016114696933376575,0.00017236837661127843,0.1,0.0016114696933376574,1
LXP,999,49.33,49280.67,485370.45,24207896.213500004,0.0020582217149807945,0.20582217149807944,0.00203572708530193,0.1,0.020582217149807944,1
LXRX,94546,1.44,136146.24,2595587.2,3811221.4620000003,0.036425668919926865,3.6425668919926864,0.03572246886134899,0.1,0.3642566891992686,1
LXU,3093,9.57,29600.010000000002,542097.7,5163176.719500001,0.005705613582201142,0.5705613582201142,0.005732906620880962,0.1,0.05705613582201142,1
LYB,-1478,49.95,-73826.1,5748282.35,281704220.541,0.00025712028567977357,0.025712028567977357,0.000262069555998204,0.1,0.0025712028567977355,1
LYFT,-7175,17.75,-127356.25,11656604.15,217316504.4145,0.000615530896277369,0.0615530896277369,0.0005860403945992351,0.1,0.00615530896277369,1
LYTS,2988,22.3,66632.40000000001,157617.45,3236360.5319999997,0.018957291848079004,1.8957291848079003,0.020588682670290338,0.1,0.18957291848079003,1
LYV,1064,147.78,157237.92,2621757.4,380608273.984,0.00040583465121524974,0.04058346512152498,0.00041312270580489265,0.1,0.0040583465121524975,1
LZ,-10773,9.11,-98142.03,2486266.65,23215856.405500002,0.004333002656814787,0.4333002656814787,0.004227370650722558,0.1,0.04333002656814787,1
LZB,-175,36.77,-6434.750000000001,412352.85,15789708.308500001,0.0004243938170913576,0.04243938170913576,0.00040752811098707954,0.1,0.004243938170913576,1
M,66,20.02,1321.32,6460191.15,140235256.12649998,1.0216415964719558e-05,0.0010216415964719558,9.422166982089696e-06,0.1,0.00010216415964719558,1
MA,179,543.73,97327.67,4214832.05,2300735311.5660005,4.246907062405962e-05,0.004246907062405963,4.2302854009639945e-05,0.1,0.0004246907062405962,1
MAA,1161,133.68,155202.48,936726.4,127353406.87550001,0.0012394227385926135,0.12394227385926135,0.0012186755251214058,0.1,0.012394227385926134,1
MAC,2624,18.68,49016.32,1630783.9,29989354.128,0.0016090421299842365,0.16090421299842364,0.001634457340787983,0.1,0.016090421299842363,1
MAGN,620,13.25,8215.0,486637.85,6975758.9735,0.0012740480420912596,0.12740480420912595,0.0011776496337112155,0.1,0.012740480420912595,1
MAN,-10258,33.29,-341488.82,1018106.05,31260815.971999995,0.010075571204001783,1.0075571204001783,0.010923861370281191,0.1,0.10075571204001782,1
MANH,-2180,155.77,-339578.60000000003,727664.8,123058544.002,0.0029958849184404685,0.29958849184404684,0.0027594881993279643,0.1,0.029958849184404685,1
MANU,12962,17.77,230334.74,333191.35,5607751.340000001,0.03890257054992574,3.890257054992574,0.04107434977671459,0.1,0.3890257054992574,1
MAR,266,319.77,85058.81999999999,1504411.95,480673888.78050005,0.00017681327245506125,0.017681327245506126,0.00017695743826609675,0.1,0.0017681327245506124,1
MARA,-229,9.86,-2257.94,40776683.65,425635674.0364999,5.6159544990363634e-06,0.0005615954499036364,5.30486549350272e-06,0.1,5.615954499036363e-05,1
MAS,-6216,66.28,-411996.48,2211592.3,149979905.62800002,0.002810644620168012,0.28106446201680124,0.002747011196432461,0.1,0.02810644620168012,1
