ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_value_pct_dollar_adv
ANET,-649,150.14999389648438,-97447.34603881836,7918780.0,1055412698.0382156,8.195706914448942e-05,9.233103431477747e-05
ANF,564,96.51000213623047,54431.641204833984,1883945.0,205134363.43902588,0.0002993717969473631,0.00026534628470969583
ANGI,-1430,13.470000267028809,-19262.100381851196,813185.0,10600104.43968296,0.0017585174345321176,0.001817161377178592
ANGO,2334,10.010000228881836,23363.340534210205,883180.0,9576129.661960602,0.002642722887746552,0.002439747722612481
ANIP,1794,79.51000213623047,142640.94383239746,576220.0,46895676.14234924,0.0031133941897192046,0.0030416651505230188
AON,586,333.0,195138.0,1039330.0,356084371.22024536,0.0005638247717279401,0.0005480105721329264
AORT,54,41.290000915527344,2229.6600494384766,276845.0,12112347.863082886,0.00019505499467210895,0.00018408157317164223
AOS,-544,69.48999786376953,-37802.558837890625,1237625.0,86931463.53580475,0.00043955156044843955,0.00043485473843795074
AOSL,-337,22.469999313354492,-7572.389768600464,293300.0,6437713.448190689,0.0011489942038868054,0.0011762545552145807
APA,-648,26.010000228881836,-16854.48014831543,5590245.0,142011254.4533062,0.00011591620760807443,0.00011868411565829272
APAM,-88,44.22999954223633,-3892.239959716797,397745.0,17191256.858901978,0.00022124728154973664,0.00022640810917215265
APD,-555,255.88999938964844,-142018.94966125488,1415565.0,368494414.1291809,0.000392069597651821,0.00038540326315901263
APEI,240,41.459999084472656,9950.399780273438,247400.0,9851395.314159393,0.0009700889248181083,0.001010049791218077
APG,2942,41.91999816894531,123328.63461303711,2335610.0,96661643.45142365,0.001259628105719705,0.0012758797617072866
APH,-2348,145.9600067138672,-342714.09576416016,10297830.0,1528004697.215271,0.00022800920193866085,0.00022428864020427637
APLD,1201,40.220001220703125,48304.22146606445,41466250.0,1429405796.6493988,2.896331353811835e-05,3.379321783869357e-05
APLE,-4190,11.479999542236328,-48101.198081970215,2310225.0,27987910.46178341,0.0018136761570842668,0.0017186419882131198
APLS,3192,,,,,,
